key_words,key_values
toppings pastries,0.3
austin tony,0.27
brothers austin,0.27
cute tiny,0.27
espressofueled labor,0.27
ferrari hillside,0.27
hillside supper,0.27
italian brothers,0.27
labor love,0.27
love italian,0.27
provender espressofueled,0.27
squarefeet provender,0.27
supper club,0.27
tiny squarefeet,0.27
tony ferrari,0.27
have teas,0.35
including grain,0.35
meat sandwich,0.35
pastries lunch,0.35
salad meat,0.35
sandwich veggie,0.35
teas pastries,0.35
togo including,0.35
brew coffee,0.24
coffee strained,0.24
cold brew,0.24
dash pure,0.24
extract smokey,0.24
ice milk,0.24
maple extract,0.24
maple syrup,0.24
maplewood cold,0.24
milk maple,0.24
over ice,0.24
poured over,0.24
pure maple,0.24
smokey sweet,0.24
strained poured,0.24
sweet flavor,0.24
syrup dash,0.24
try maplewood,0.24
boardgames coffee,0.33
collection boardgames,0.33
friend game,0.33
game one,0.33
old friend,0.33
one shops,0.33
shops collection,0.33
stop visit,0.33
visit old,0.33
breakfast spot,0.3
down street,0.3
great place,0.3
linedrawing breakfast,0.3
next plow,0.3
pass time,0.3
place pass,0.3
plow linedrawing,0.3
right next,0.3
spot down,0.3
street great,0.3
allow guests,0.29
coffee shop,0.29
door eat,0.29
grab sandwich,0.29
guests grab,0.29
have typical,0.29
hazels next,0.29
next door,0.29
sandwich hazels,0.29
shop snacks,0.29
snacks allow,0.29
typical coffee,0.29
ideal nice,0.45
nice sf,0.45
outdoor seating,0.45
seating ideal,0.45
sf day,0.45
beach castro,0.29
brothers tommy,0.29
castro truck,0.29
chris newbury,0.29
joining locations,0.29
location rveille,0.29
locations north,0.29
newbury joining,0.29
north beach,0.29
rveille brothers,0.29
tommy chris,0.29
truck jackson,0.29
bay has,0.28
breakfast lunch,0.28
brunch even,0.28
caf breakfast,0.28
dinner brunch,0.28
espresso plus,0.28
even wine,0.28
luckily mission,0.28
lunch dinner,0.28
mission bay,0.28
offerings coffee,0.28
plus caf,0.28
quite expanded,0.28
alongside rveilles,0.26
bakehouse provides,0.26
blend single,0.26
coffees roasted,0.26
espresso blend,0.26
neighbor bakehouse,0.26
neighboring neighbor,0.26
origin coffees,0.26
own paradise,0.26
paradise espresso,0.26
pastries alongside,0.26
provides pastries,0.26
roasted site,0.26
rveilles own,0.26
single origin,0.26
