key_words,key_values,category,section
founder kinani,0.24,None,None
kenyan colombian,0.24,coffee,beans
kinani ahmed,0.24,None,None
project founder,0.24,None,None
roasters coffee,0.24,coffee,roast
sextant founded,0.24,None,None
shop sextant,0.24,None,None
soma roasters,0.24,coffee,roast
working directly,0.24,None,None
back patio,0.26,None,None
brick high,0.26,None,None
ceilings charming,0.26,place,deco
charming back,0.26,None,None
en route,0.26,None,None
exposed brick,0.26,None,None
high ceilings,0.26,place,deco
linger stop,0.26,None,None
nice linger,0.26,None,None
patio place,0.26,None,None
place nice,0.26,place,sentiment
route office,0.26,None,None
setting exposed,0.26,None,None
sextants setting,0.26,None,None
stop en,0.26,None,None
always destination,0.23,None,None
ante when,0.23,None,None
aptly named,0.23,None,None
caffeination excellent,0.23,coffee,sentiment
coffee collaboration,0.23,None,None
coffee manufactory,0.23,None,None
coincide opening,0.23,None,None
collaboration coincide,0.23,None,None
destination morning,0.23,None,None
launched coffee,0.23,None,None
manufactory aptly,0.23,None,None
morning caffeination,0.23,coffee,None
named coffee,0.23,None,None
opening tartine,0.23,None,None
pastries tartine,0.23,food,baked
tartine manufactory,0.23,None,None
tartine upped,0.23,None,None
upped ante,0.23,None,None
when launched,0.23,None,None
beans roasted,0.29,coffee,beans
bright pleasant,0.29,coffee,sentiment
cup drip,0.29,coffee,drinks
dining room,0.29,place,deco
espresso drink,0.29,coffee,drinks
into bright,0.29,None,None
oakland sourced,0.29,None,None
pleasant dining,0.29,food,sentiment
roasted oakland,0.29,coffee,roast
room cup,0.29,None,None
sourced directly,0.29,None,None
stop into,0.29,None,None
accompany first,0.33,None,None
baking accompany,0.33,food,baked
bread baking,0.33,food,baked
breakfast smell,0.33,food,breakfast
first cup,0.33,coffee,drinks
hot breakfast,0.33,food,breakfast
no wifi,0.33,place,wifi
smell bread,0.33,food,baked
theres no,0.33,None,None
addition equators,0.35,None,None
continued improve,0.35,None,None
equators first,0.35,None,None
first sf,0.35,None,None
improve options,0.35,None,None
midmarket continued,0.35,None,None
options addition,0.35,None,None
sf location,0.35,None,None
along beer,0.27,None,None
beer wine,0.27,coffee,drinks
brew along,0.27,None,None
coffee espresso,0.27,coffee,drinks
cold brew,0.27,coffee,drinks
drinks single,0.27,coffee,drinks
drip coffee,0.27,coffee,drinks
espresso drinks,0.27,coffee,drinks
offer drip,0.27,coffee,drinks
origin pourovers,0.27,coffee,drinks
pourovers teas,0.27,None,None
single origin,0.27,None,None
teas cold,0.27,coffee,drinks
wine tap,0.27,coffee,drinks
food including,0.33,None,None
grain salads,0.33,food,lunch
including togo,0.33,None,None
items like,0.33,None,None
like grain,0.33,food,lunch
salads sweet,0.33,food,lunch
savory toasts,0.33,food,baked
sweet savory,0.33,food,sentiment
togo items,0.33,food,lunch
coffee shops,0.3,coffee,None
corner victorian,0.3,None,None
five coffee,0.3,None,None
has five,0.3,None,None
latest stunningly,0.3,None,None
name latest,0.3,None,None
shops name,0.3,None,None
sightglass has,0.3,None,None
stunningly updated,0.3,None,None
updated corner,0.3,None,None
victorian divisadero,0.3,None,None
beautiful roastery,0.28,coffee,roast
big beautiful,0.28,None,None
centerpiece pour,0.28,None,None
cold brews,0.28,coffee,drinks
drinks cold,0.28,coffee,drinks
espresso drinks,0.28,coffee,drinks
flagship location,0.28,None,None
location big,0.28,None,None
overs espresso,0.28,coffee,drinks
pour overs,0.28,coffee,drinks
remains flagship,0.28,None,None
roastery centerpiece,0.28,coffee,roast
soma remains,0.28,None,None
affogato bar,0.28,coffee,drinks
ample seating,0.28,None,None
bar serving,0.28,None,None
cream mezzanine,0.28,None,None
ice cream,0.28,food,None
often packed,0.28,None,None
packed affogato,0.28,coffee,drinks
portlands salt,0.28,None,None
salt straw,0.28,None,None
seating though,0.28,place,stay
serving portlands,0.28,None,None
straw ice,0.28,None,None
though often,0.28,None,None
around over,0.29,None,None
beach location,0.29,None,None
been around,0.29,None,None
caffe trieste,0.29,coffee,drinks
espresso masses,0.29,coffee,drinks
has been,0.29,None,None
location caffe,0.29,coffee,None
north beach,0.29,None,None
over years,0.29,None,None
serving espresso,0.29,coffee,drinks
trieste has,0.29,None,None
years serving,0.29,None,None
art poetry,0.29,place,deco
be found,0.29,None,None
crowd neighborhood,0.29,None,None
discussing art,0.29,None,None
found discussing,0.29,None,None
host crowd,0.29,None,None
more sidewalk,0.29,None,None
music more,0.29,None,None
neighborhood regulars,0.29,place,out
poetry music,0.29,place,deco
regulars be,0.29,None,None
sidewalk outside,0.29,place,out
be seen,0.33,None,None
bonus institution,0.33,None,None
day night,0.33,None,None
institution where,0.33,None,None
live music,0.33,place,deco
music bonus,0.33,None,None
performers be,0.33,None,None
seen day,0.33,None,None
where performers,0.33,None,None
addition fidi,0.28,None,None
baked goods,0.28,food,baked
barrel coffee,0.28,None,None
bitsy addition,0.28,None,None
brings four,0.28,None,None
coffee baked,0.28,None,None
coffee scene,0.28,coffee,None
fidi coffee,0.28,coffee,sentiment
four barrel,0.28,None,None
goods neighbor,0.28,place,out
itsy bitsy,0.28,place,size
neighbor bakehouse,0.28,food,baked
scene brings,0.28,None,None
attraction spirit,0.38,None,None
drinks main,0.38,None,None
espresso drinks,0.38,coffee,drinks
keeping things,0.38,None,None
main attraction,0.38,None,None
spirit keeping,0.38,None,None
things simple,0.38,place,None
enjoy neighborhood,0.38,place,out
feel hang,0.38,None,None
hang enjoy,0.38,place,stay
neighborhood vibe,0.38,None,None
only feel,0.38,None,None
room only,0.38,None,None
standing room,0.38,place,out
basis offering,0.22,None,None
coffee highly,0.22,None,None
coffee shop,0.22,coffee,None
cold brew,0.22,coffee,drinks
curated coffee,0.22,coffee,roast
drinks nitro,0.22,coffee,drinks
espresso drinks,0.22,coffee,drinks
former techie,0.22,place,stay
hamid rafati,0.22,None,None
highly curated,0.22,None,None
mazarine coffee,0.22,None,None
nitro cold,0.22,coffee,drinks
offering pourovers,0.22,coffee,drinks
pourovers espresso,0.22,coffee,drinks
rafati rotates,0.22,None,None
regular basis,0.22,None,None
roasters regular,0.22,coffee,roast
rotates variety,0.22,coffee,None
shop former,0.22,None,None
techie hamid,0.22,None,None
variety roasters,0.22,coffee,roast
bakery pastries,0.28,food,baked
caf friendly,0.28,place,None
folks offers,0.28,None,None
friendly laptopwielding,0.28,place,stay
laptopwielding folks,0.28,None,None
light sandwiches,0.28,food,breakfast
morning light,0.28,None,None
offers starter,0.28,None,None
pastries morning,0.28,food,baked
salads lunch,0.28,food,lunch
sandwiches salads,0.28,food,lunch
starter bakery,0.28,food,baked
wifiequipped caf,0.28,place,wifi
beer wine,0.71,coffee,drinks
have beer,0.71,None,None
affair marble,0.33,None,None
blue bottle,0.33,None,None
bottle sansome,0.33,None,None
glorious highceilinged,0.33,place,deco
highceilinged affair,0.33,None,None
marble white,0.33,place,deco
sansome glorious,0.33,None,None
tiling galore,0.33,place,deco
white tiling,0.33,place,deco
coffee not,0.29,None,None
drink new,0.29,coffee,drinks
espresso drink,0.29,coffee,drinks
forget liege,0.29,None,None
iced coffee,0.29,coffee,drinks
liege waffle,0.29,food,baked
new orleans,0.29,None,None
not forget,0.29,None,None
orleans iced,0.29,coffee,drinks
over espresso,0.29,coffee,drinks
pour over,0.29,coffee,drinks
snag pour,0.29,None,None
always line,0.45,None,None
hightraffic location,0.45,place,out
line hightraffic,0.45,None,None
location moves,0.45,None,None
moves quickly,0.45,None,None
latte pour,0.41,None,None
order latte,0.41,coffee,drinks
overs take,0.41,None,None
pour overs,0.41,coffee,drinks
rush order,0.41,None,None
take time,0.41,None,None
across hall,0.41,None,None
cocktails across,0.41,None,None
downer upper,0.41,None,None
hall treasury,0.41,None,None
need downer,0.41,None,None
upper cocktails,0.41,food,baked
bay area,0.32,None,None
chain started,0.32,None,None
coffee chain,0.32,None,None
exploded rapidly,0.32,None,None
